institute,category,course_num,course_name,credit,semester,description
bulletin.hofstra.edu,ACCT,ACCT144,Income Tax Accounting II,3,,Periodically   Analysis of the Federal Income Tax laws; their meaning; application; ethical and international considerations relating to business entities. Partnership; regular corporations and Subchapter S corporations will be the focus of this course.Prerequisite(s)/Course Notes: ACCT 143   and senior class standing. Credit given for this course or ACCT 215; not both.
bulletin.hofstra.edu,ACCT,ACCT145,Advanced Tax Topics,3,,Periodically  In-depth analysis of advanced topics in taxation from mostly the federal tax law perspective; but also exploring state and local as well as international jurisdictions. Topics will include tax research; federal practice and procedure; fiduciary responsibilities; taxation of estates and trusts; tax credits and the alternative minimum.Prerequisite(s)/Course Notes: ACCT 144   and senior class standing.
bulletin.hofstra.edu,ACCT,ACCT150,Advanced Financial Accounting Theory,3,,Periodically  Building on the topics learned in Financial Accounting Theory and Practice; this course focuses on using applied research to solve more complex accounting and reporting issues. Through real-world case analysis and issue-based research approaches; students will develop critical thinking and problem-solving skills.Prerequisite(s)/Course Notes: ACCT 124   or approved equivalent; and senior class standing. Credit given for this course or ACCT 210; not both.
bulletin.hofstra.edu,ACCT,ACCT155,Readings,1-3,,Periodically  Assigned readings on a tutorial basis; oral or written reports may be required.Prerequisite(s)/Course Notes: ACCT 102    and permission of department chairperson.
bulletin.hofstra.edu,ACCT,ACCT156,Readings,1-3,,Periodically  Assigned readings on a tutorial basis; oral or written reports may be required.Prerequisite(s)/Course Notes: ACCT 102    and permission of department chairperson.
bulletin.hofstra.edu,ACCT 157,ACCT 157A-Z,Seminar: Special Topics in Accounting,3,,Periodically   An advanced in-depth treatment of special topics. Current topics are explored  through a variety of methods; such as lectures; projects and case studies.Prerequisite(s)/Course Notes: ACCT 125   and any additional prerequisites as stated in the course schedule. As  individual subjects are selected; each is assigned a letter (A-Z) which is affixed  to the course number. Students may take up to two of these courses to fulfill  their major requirements so long as each seminar has a different letter designation.  These courses may only be taken in addition to the required courses. These courses  do not qualify for CPA examination credit. Specific titles and course descriptions for special topics courses are available in the online class schedule.
bulletin.hofstra.edu,ACCT,ACCT174,Business Internship,1-3,Fall&Spring,Actual practical experience in an approved setting open to junior and senior accounting majors. Students work a minimum of 40 hours for 1 credit or a minimum of 80 hours for 2 credits or a minimum of 120 hours for 3 credits in a structured accounting program offered by a for-profit or not-for-profit organization.Prerequisite(s)/Course Notes: Permission of department chairperson; a minimum grade point average of 2.5 in accounting courses and 2.5 overall; ACCT 124 ; junior class standing or above.  NOTE:  Students may take this course for 1; 2; or 3 s.h.; and may take the course more than once; with a maximum of 3 s.h. earned.  Credits earned count toward general degree requirements but do not satisfy accounting major requirements.
bulletin.hofstra.edu,ACCT,ACCT185,Internship in Accounting,3,Fall&Spring,A work-study program open to senior accounting majors. Students work a minimum  of 120 hours in a structured accounting training program offered by a for-profit  or not-for-profit organization.Prerequisite(s)/Course Notes: Permission of department chairperson; a minimum grade point average of 3.0 in  accounting courses and 3.0 overall; ACCT 124 . Corequisite: related course in the  area of the internship. (Students who do not meet these requirements; see ACCT 174 .)
bulletin.hofstra.edu,ACCT,ACCT190,Honors Essay,3,Fall&Spring,Research for and the writing of a substantial essay in the field of accounting. Open only to senior accounting majors who are eligible for and desire to graduate with departmental honors and who secure; before registration; written permission of the department chairperson.Prerequisite(s)/Course Notes: A minimum grade point average of 3.5 in accounting and 3.4 overall.
bulletin.hofstra.edu,AFST,AFST014F,First-Year Seminar,3-4,Fall,his course gives first-year students the opportunity to work in a seminar format with a member of the faculty in an area of the faculty member’s research interests. Prerequisite(s)/Course Notes: The course is open to first-year students only. Topics vary by semester. This  course is offered for distribution credit. Students may take only one 14F or 12F seminar and  only one 14S or 12S seminar.
bulletin.hofstra.edu,AFST,AFST014S,First-Year Seminar,3-4,Spring,This course gives first-year students the opportunity to work in a seminar format  with a member of the faculty in an area of the faculty member’s research interests.Prerequisite(s)/Course Notes: The course is open to first-year students only. Topics vary by semester. This  course is offered for distribution credit. Students may take only one 14F or 12F seminar and  only one 14S or 12S seminar.
bulletin.hofstra.edu,AFST,AFST032,(BH; CC) Women and Development,3,,Periodically  Examination of the historical transformation of the roles of Asian and African women in relation to the different modes of socioeconomic organization of their respective societies. Critical assessment of the impact of social; religious; economic and political systems in defining the status of women in these societies.Prerequisite(s)/Course Notes: Same as ANTH 032 . Credit given for this course or SOC 032 ; not both.
bulletin.hofstra.edu,AFST,AFST039,(CC; CP) The American Experience and Africanist Dance Practices,3,Fall,his is a studio course introducing students to American dance aesthetics and practices with a focus on how its evolution has been influenced by African American choreographers and dancers. An ongoing study of movement practices from traditional African dances; dances of the African Diaspora; American Jazz dance; modern dance; and American Ballet will be complemented by readings; video viewings; guest speakers and creation of dance studies.Prerequisite(s)/Course Notes: Same as DNCE 039 .
bulletin.hofstra.edu,AFST,AFST043,(LT; CC) Decolonizing the Mind: Contemporary Literature from Africa to Southeast Asia,3,,Periodically  Examination of literary voices from Francophone countries including Senegal; Algeria; Tunisia. Topics include decolonization and the African identity; the search for self; the contradictions of life in the colonies and racism. Readings include works by Memmi; Ben Jelloun; Snow-Fall; Senghor. All works are read and discussed in English.Prerequisite(s)/Course Notes: Same as FRLT 043 .
bulletin.hofstra.edu,AFST,AFST051,Readings in African Thought,1,Fall&Spring,Each student; in consultation with the instructor; selects a key topic or a prominent  figure in the world with African experi
bulletin.hofstra.edu,AFST,AFST052,Readings in African Thought,1,Fall&Spring,Each student; in consultation with the instructor; selects a key topic or a prominent  figure in the world with African experi
bulletin.hofstra.edu,AFST,AFST102,(BH) African Cultures,3,,Every Other Year  The continent of Africa is the birthplace of humanity and an area of enormous cultural diversity. This course will examine representative contemporary African societies against a backdrop of social; political and economic change.Prerequisite(s)/Course Notes: Same as ANTH 102 .
bulletin.hofstra.edu,AFST,AFST108,(BH) Afro-American Culture,3,,Every Other Year   Consideration and analysis of the culture of black Americans and black communities; emphasis is on enculturation processes and social forms resulting from antecedents of African culture and pressures from the dominant American culture. Emphasis is on the legacy of slavery.Prerequisite(s)/Course Notes: Same as ANTH 108 .
bulletin.hofstra.edu,AFST,AFST110,(BH; CC) African Politics,3,Fall&Spring,Investigation of the political culture of Africa which combines indigenous heritage and culture with European colonial influences; and a comparative analysis of political development in African states including struggles for democratization; nationbuilding and socioeconomic development.Prerequisite(s)/Course Notes: Same as PSC 110 .
bulletin.hofstra.edu,AFST,AFST111,Economic Development in Sub-Saharan Africa,3,,Periodically   Development theories; practices and results evident in the region’s primary industries  such as agriculture; pastoral farming; mining and manufacturing from the colonial  period to the present. Precolonial socioeconomic formations in each country within  the region are examined as background to transformations fostered by colonialism.Prerequisite(s)/Course Notes: One introductory course in economics. Same as ECO 111 .
bulletin.hofstra.edu,AFST,AFST111A,Politics of Race in the United States,3,,Every Other Year  An analysis in depth of the manner in which racial considerations have shaped the American political culture and the extent to which these considerations have affected the formation of public policy on all levels of government. The main emphasis; however; shall be on the national level.Prerequisite(s)/Course Notes: Same as PSC 111 .
bulletin.hofstra.edu,AFST,AFST115,The Afro-American in American History; 1619-1865,3,,Every Other YearFrom the African origins of black slavery through emancipation and the Civil War. Emphasis is given to the slave trade; the nature of black society under slavery in both North and South; the relation of the American Revolution to the antislavery movement; and the role of blacks in Abolitionism and the Civil War.Prerequisite(s)/Course Notes: Credit given for this course or HIST 115 ; not both.
bulletin.hofstra.edu,AFST,AFST116,The Afro-American in American History; 1865 to the Present,3,,Every other yearEmphasis is given to the end of slavery and the successes and failures of Reconstruction; the nature of black society in the era of national segregation and the changes developing during and after the two World Wars. The struggle for civil; educational; economic and political equality is traced in the context of an emerging diversified black leadership; provided by such figures as Booker T. Washington; W. E. B. DuBois; Marcus Garvey; Malcolm X and Martin Luther King; Jr.Prerequisite(s)/Course Notes: Credit given for this course or HIST 116 ; not both.
bulletin.hofstra.edu,AFST,AFST117A,(CC) History of Africa to 1800,3,,Every other year  History of Africa from the traditional period to the beginning of the modern era. Emphasis on Bantu migration; precolonial society and the slave trade.Prerequisite(s)/Course Notes: Same as HIST 117A .
bulletin.hofstra.edu,AFST,AFST118A,History of Africa; 1800 to the Present,3,,Every other year  The colonial period; African nationalism; independence and the apartheid system.Prerequisite(s)/Course Notes: Same as HIST 118A .
bulletin.hofstra.edu,AFST,AFST119,(HP) Blacks and Jews: Interrelation in the Diaspora,3,,Periodically  An examination of the relations between African-American and Jewish-Americans  in the United States from the period of the “Grand Alliance” (ca.; 1910-1967)  to the current moment of “crisis.” Through the investigation of literature; sociological  analysis; historical case studies; opinion pieces; and works of art; this course  illuminates the complex and shifting relations between African-Americans and Jewish-Americans  and their significance for questions of identity in the modern United States.Prerequisite(s)/Course Notes: Same as  HIST 119 ; JWST 119R .
bulletin.hofstra.edu,AFST,AFST120,(BH; CC) African Labor Economics,3,,Periodically Work; working people and working class movements in modern Africa are the focus of this introductory course. Through contemporary and historical cross-country studies of workers in a wide variety of economic; political and institutional settings; we will evaluate rival perspectives on a host of interesting and controversial topics. These include changing occupational and industrial formations; gender and racial/ethnic gaps in jobs and income; poverty and inequality; immigration; urban informal employment; worker training and health care; labor unions; government’s regulatory and job creation roles. This is a distribution course in both the Behavioral Social Sciences and the Cross-Cultural categories.Prerequisite(s)/Course Notes: One introductory economics course or LABR 001A  or instructor’s permission. Credit given either for this course or ECO 120  or LABR 120 ; not both.
bulletin.hofstra.edu,AFST,AFST121,The Francophone Experience in Sub-Saharan Africa,3,,Periodically An introduction to African cultures from the colonial era to post-colonialism through an analysis of literature and film.Prerequisite(s)/Course Notes: FREN 111   or 113 . Same as FREN 121 .
bulletin.hofstra.edu,AFST,AFST122,Health and Disease in Africa: A Medical Anthropology Perspective,3,,Periodically  This course focuses on the myriad factors contributing to disease in Africa and  the various ways in which African cultures respond behaviorally to disease and  illness. We explore the etiology and clinical manifestations of disease and illness  and the practices directed toward the alleviation of disease and the promot
bulletin.hofstra.edu,AFST,AFST123,Life and Death in the Black Community,3,,Periodically  This course introduces students to the impact of race; class and gender on the  health status of African Americans in the United States. It focuses on concepts  of race; ethnicity and the perception of human differences; the biological basis  of human variation; and the impact of state policies on patterns of disease; reproduction;  and death among African Americans with an emphasis on the ethical questions these  policies pose.Prerequisite(s)/Course Notes: One of the following: HIST 115 ; 116 ; ANTH 108 .
bulletin.hofstra.edu,AFST,AFST124,The Francophone Experience in North Africa,3,,Periodically  An introduction to Algerian; Moroccan and Tunisian cultures from the colonial  era to post-colonialism through an analysis of literature and film.Prerequisite(s)/Course Notes: FREN 004 . Same as FREN 122 .
bulletin.hofstra.edu,AFST,AFST134,(BH) Race Relations in the United States,3,Fall&Spring,Examination of major patterns of racial and ethnic relations in the United States. Historical; contemporary and cross-cultural data are combined with prevalent theoretical perspectives to provide a basic understanding of race and ethnic relations as enduring and embedded aspects of United States society. Topics covered include the political and economic dynamics of race relations; institutional racism; prejudice and discrimination. Particular attention is paid to the African-American experience from slavery to the present.Prerequisite(s)/Course Notes: Credit given for this course or SOC 134 ; not both.
bulletin.hofstra.edu,AFST,AFST139,(LT; CC) The African Novel,3,,Introduces selected African novelists of the 20th century such as Chinua Achebe;  Sembene Ousmane; Ayi Kwei Armah; Ngugi wa Thiong’o; Bessie Head; Buchi Emecheta  and Solomon Mutswairo. Analysis of African literary themes; such as traditional  and modern conflicts; resistance to colonialism; effects of independence; neocolonial  dilemmas and images of the African woman.Prerequisite(s)/Course Notes: Same as ENGL 139 .
bulletin.hofstra.edu,AFST,AFST140,African American Literature I,3,Fall&Spring,The origins of an African American literary tradition from the Colonial period to the early 20th century. Themes include the African Diaspora; slavery; folk culture; race; and social equality. Such authors as Equiano; Wheatley; Douglass; Brown; Jacobs; Harper; Washington; and Du Bois.Prerequisite(s)/Course Notes: WSC 001 . Credit given for this course or ENGL 140 ; not both.
bulletin.hofstra.edu,AFST,AFST141,(LT) African American Literature II,3,Fall&Spring,The growth of African American literature from the Harlem Renaissance to the present. Such topics as migration; African heritage; protest; vernacular; and gender. Writers include Hughes; Hurston; Wright; Brooks; Ellison; Baldwin; Baraka; Walker; Morrison; and Wilson.Prerequisite(s)/Course Notes: WSC 001 . Credit given for this course or ENGL 141 ; not both.
bulletin.hofstra.edu,AFST,AFST142,(CC) Archaeology of the African Diaspora,3,,PeriodicallyThis course examines archaeological and historical studies of people of African descent in the Americas; beginning with the transatlantic slave trade to the early twentieth century.  The major objective of this course is to understand the diverse material worlds of African Diasporic communities within the greater historiographies of the Atlantic world.  The course reviews archaeological methods; material patterns of African and African-American cultural practices; and the public meanings of minority archaeologies.Prerequisite(s)/Course Notes: Same as ANTH 142 .
bulletin.hofstra.edu,AFST,AFST143,Economic Development,3,,Periodically  Problems of the developing economies of the world; theories of development; requirements for and obstacles to economic development; policies to promote economic redevelopment.Prerequisite(s)/Course Notes: One introductory course in economics. Same as ECO 143 .
bulletin.hofstra.edu,AFST,AFST154,African Humanism,3,Fall&Spring,African philosophical and religious systems; attitudes and the ways in whi
bulletin.hofstra.edu,AFST,AFST155,African Humanism,3,,Periodically   Pan-Afr
bulletin.hofstra.edu,AFST,AFST156,Economic and Social History of the Caribbean from Slavery to National Independence,3,,Periodically   The
bulletin.hofstra.edu,AFST,AFST157,African National Liberation Movements,3,Fall&Spring,Theory and practic
bulletin.hofstra.edu,AFST,AFST168,(CC) Caribbean Experience in Literature,3,,An exploration of the literature of the English-speaking Caribbean (Antigua;  Barbados; Belize; Guyana; Jamaica; St. Kitts; St. Lucia; and Trinidad). Emphasis  is placed on the ways in which this literature deals with the experience of slavery;  colonization; and independence and the ways in which it treats such issues and  themes as regional identity; color; race; class; gender; and family relations.  Attention is also given to the ways in which the literature and culture of the  Caribbean makes use of such cultural elements as Carnival and vernacular Africanized  English known as patois and creole.Prerequisite(s)/Course Notes: WSC 001 . Same as ENGL 168 .
bulletin.hofstra.edu,AFST 187,AFST 187A-Z,(CC) Special Topics,3,,PeriodicallyThese courses deal with innovative or advanced topics and may include field projects. Students prepare individual projects on a research theme.Prerequisite(s)/Course Notes: May be repeated for credit when topics vary. Specific titles and course descriptions for special topics courses are available in the online class schedule.
bulletin.hofstra.edu,AFST,AFST193,(LT) The Color of Literature,3,,Periodically   This course explores works by ‘writers of color’ and investigates the notion of assigning racial; ethnic; and cultural identity labels to works of literature. Does literature have a color? Can it? How is this relevant to literary study? In a cross-cultural context; we will examine how works of literature reflect the history and discussion of race; ethnicity; and culture in a given society. These works also participate in and give form to issues and debates that extend beyond the work back into society at large.Prerequisite(s)/Course Notes: Same as CLL 193 .
bulletin.hofstra.edu,AH,AH003,(AA) Gods and Kings,3,Fall&Spring,Study of Classical and European art from its prehistoric antecedents to the Gothic Age; with an emphasis on how powerful kings and religious beliefs influenced the forms and styles of architecture; sculpture and painting.Prerequisite(s)/Course Notes: Credit given for this course or AH 203; not both.
bulletin.hofstra.edu,AH,AH004,(AA) Religion; Rulers and Rebellion,3,Fall&Spring,Study of European art from the Renaissance to modern times with a focus on how painting; sculpture and architecture were influenced by
bulletin.hofstra.edu,AH,AH005,(AA) Form in the Art-Work I,3,,PeriodicallyAnalytical study of form in painting; sculpture; and architecture; emphasizing stylistic significance and expressive values. Primary theoretical and critical texts are read rather than art history textbooks. Emphasis on classicism and its alternatives.Prerequisite(s)/Course Notes: Sophomore standing or above.
bulletin.hofstra.edu,AH,AH006,(AA) Form in the Art-Work II,3,,PeriodicallyAnalytical study of painting; sculpture; and architecture; emphasizing stylistic significance and expressive values. Primary theoretical and critical texts are read; in addition to writings by artists; rather than art history textbooks. Emphasis on the modern sense of the art object.Prerequisite(s)/Course Notes: Sophomore standing or above.
bulletin.hofstra.edu,AH,AH014F,(AA) First-Year Seminar,3-4,Fall,This course gives first-year students the opportunity to work in a seminar format with a member of the faculty in an area of the faculty member’s research interests.Prerequisite(s)/Course Notes: The course is open to first-year students only. Topics vary by semester. Students may take only one 14F or 12F seminar and only one 14S or 12S seminar.
bulletin.hofstra.edu,AH,AH014S,(AA) First-Year Seminar,3-4,Spring,This course gives first-year students the opportunity to work in a seminar format with a member of the faculty in an area of the faculty member’s research interests.Prerequisite(s)/Course Notes: The course is open to first-year students only. Topics vary by semester. Students may take only one 14F or 12F seminar and only one 14S or 12S seminar.
bulletin.hofstra.edu,AH,AH074,(AA) Contemporary Art,3,Fall&Spring,A topical and analytical study of contemporary art with an emphasis onthe philosophical and aesthetic issues of modernism and post-m
bulletin.hofstra.edu,AH,AH100,Honors Essay,3,Fall&Spring,The research for and the writing of a substantial essay in the field of art history. Open only to senior art history majors  who desire to graduate with departmental honors and who secure; before regi
bulletin.hofstra.edu,AH,AH101,(AA) Ancient Art,3,Fall,Architecture; sculpture and painting of Ancient Greece and the RomanEmpire with emphasis on the contributi
bulletin.hofstra.edu,AH,AH102,(AA) Medieval Art,3,Spring,Architecture; sculpture and painting of Europe from c. 300 a.d. to 1400a.d.; with emphasis on the contributions of earlier European andnon-European cultures. Sty
bulletin.hofstra.edu,AH,AH103,(AA; CC) Art of the Silk Road,3,Spring,This course will emphasize the intercultural influences brought about through trans-Eurasian trade networks as exemplified in all artistic media from the first century B.C. to the ninth century A.D.Prerequisite(s)/Course Notes: Credit given for this course or AH 213; not both. (Formerly Images: West and East.)
bulletin.hofstra.edu,AH,AH106,(AA) Italian Renaissance Art,3,Fall,rchitecture; sculpture and painting in Florence; R
bulletin.hofstra.edu,AH,AH107,(AA) Renaissance Art in Northern Europe,3,,Once a YearThe groundbreaking painting; sculpture; prints and tapestries produced in the Netherlands; Northern France; and Germany during the 15th and 16th centuries. Survey of the roots of this work in manuscript illustration; through panel painting and the  development of printmaking. Focuses on the religious; social and economic conditions for producing
bulletin.hofstra.edu,AH,AH109,(AA) Art From the Baroque to Romantic Age,3,Fall,ainting; sculpture and architecture produced in Europe during the 17th and 18th centuries. Surveys artists’ responses to the religious; political and ceremonial demands of the Catholic church and the royal courts; the celebration of bourgeois domesticity; the passion of revolution; and the new territory of inner life. Also considers developments in philosophy; science and technology relating to
bulletin.hofstra.edu,AH,AH110,(AA) Modern Architecture and Design,3,Fall,evelopment of modern architecture as a three-dimensional art in the fine-arts tradition (with some attention to parallels in sculpture) and as part of a new technical approach to “design” under industrialism. Architecture versus mere building; architecture and social life; “functionalism” and the International Style; “post-modernism” and the fate of modernity. Emphasis on works of major
bulletin.hofstra.edu,AH,AH114,Tribal Arts,3,,Periodically   A survey of tribal art forms in pre-Columbian America; Africa (West Africa and  the Congo) and Oceania (Melanesia and Polynesia) with reference to religious;  social and geographic
bulletin.hofstra.edu,AH,AH118,(AA; CC) Islamic Art and Archaeology,3,,Periodically  Origins and development of Islamic art in the Near and Middle East; through the 18th century.  Emphasis is on the study of Islamic art in Iran and its spread throughout the world in architecture; sculpture; pottery and textile design.Prerequisite(s)/Course Notes: Credit given for this course or AH 218; not both. (Formerly Pre-Islamic and Islamic Art.)
bulletin.hofstra.edu,AH,AH119,(AA) 19th-Century Art,3,,PeriodicallyDevelopment of modern art during the 19th century; emphasis on the major movements;  concepts and artists.Prerequisite(s)/Course Notes: (Formerly 19th-Century Painting in Europe.)
bulletin.hofstra.edu,AH,AH120,(AA) 20th-Century Painting in Europe,3,Fall,survey emphasizing the concepts entailed in the various styles of 20th century European painting; concentration on the major movements in European painting since post-impressionism. Emphasis on the foundational role of the School of Paris; but also on the emergence of abstraction in Central Europe and the former Soviet Union; rationalist and irrationalist alternatives; response to American ascendancy after World War II; later
bulletin.hofstra.edu,AH,AH141,History of Photography,3,Fall,his course starts with the invention of  photography in the 19th century and follows its early processes and ideas to the latest digital technologies. We see how photography emerges as one of the premier independent art forms of the 21st century. Its use is ubiquitous today in art; advertising; photojournalism; fashion and persona use. Through class discussions and visual presentations of individual photographers and movements; student
bulletin.hofstra.edu,AH,AH145,American Art,3,,PeriodicallyArt in America from early European settlements to the present. Emphasis on architecture; sculpture and p
bulletin.hofstra.edu,AH,AH151,Readings in Art History,1-3,Fall&Spring,Specifically designed for concentration in a single area. Open to highly qualified students; normally seniors; who are capable of working independently. Before registering; the student must consult with the faculty member who will act as the tutor.Prerequisite(s)/Course Notes: Can be substituted for AH 164 .
bulletin.hofstra.edu,AH,AH152,Venetian Art and Architecture,3,,JanuaryStudy of Venetian Art and Architecture from the 13th to the 18th centuries as a link between the Eastern and Western world. Course includes daily visits to museums; churches and v
bulletin.hofstra.edu,AH,AH161,Fashion Through the Ages,3,,PeriodicallyAnalysis of the development of clothing design and personal decoration as art forms from Antiquity to the present. Chronologically presented; stylistic changes and fashions are examined within cultural contexts.Prerequisite(s)/Course Notes: (Formerly  Art of Personal Adornment.)
bulletin.hofstra.edu,AH,AH164,Senior Seminar,3,Spring,An intensive study of selected problems in historical research.Prerequisite(s)/Course Notes: Open only to seniors specializing in art history or by permission of department chairperson.
